anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,23,22,36.3,20,9,43,67,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,1,5.88,17,16,9.6,7,2,12,20,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,21,21,8.3,4,1,12,19,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,59,59,8.7,4,2,12,22,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,89,89,2.7,1,0,3,7,NONPOC,RTH_OPEN,false
R01,C02_ACTIVITY_MATCHED,0,0,59,58,65,49,16,95,163,NONPOC,ALL_SESSIONS,false
R01,C02_ACTIVITY_MATCHED,0,0,36,36,82.5,80,19,119,174,NONPOC,ETH_EVENING,false
R01,C02_ACTIVITY_MATCHED,0,0,23,22,36.3,20,9,43,67,NONPOC,ETH_OVERNIGHT,true
R02,C02_ACTIVITY_MATCHED,0,0,56,56,5.2,2,1,5,13,NONPOC,ALL_SESSIONS,false
R02,C02_ACTIVITY_MATCHED,0,0,7,7,9.1,10,2,12,17,NONPOC,RTH_AFTERNOON,true
R02,C02_ACTIVITY_MATCHED,0,0,5,5,4.4,1,1,1,1,NONPOC,RTH_MIDDAY,true
R02,C02_ACTIVITY_MATCHED,0,0,10,10,6.6,3,1,4,5,NONPOC,RTH_MORNING,true
R02,C02_ACTIVITY_MATCHED,0,0,34,34,4.1,2,0,3,8,NONPOC,RTH_OPEN,false
R03,C02_ACTIVITY_MATCHED,0,0,56,56,3,2,0,3,7,NONPOC,ALL_SESSIONS,false
R03,C02_ACTIVITY_MATCHED,0,0,3,3,4,4,2,4,4,NONPOC,RTH_AFTERNOON,true
R03,C02_ACTIVITY_MATCHED,0,0,4,4,4.8,8,0,8,8,NONPOC,RTH_MIDDAY,true
R03,C02_ACTIVITY_MATCHED,0,0,7,7,6.4,2,0,2,7,NONPOC,RTH_MORNING,true
R03,C02_ACTIVITY_MATCHED,0,0,42,42,2.1,2,0,3,5,NONPOC,RTH_OPEN,false
R04,C02_ACTIVITY_MATCHED,0,0,19,19,3.1,1,0,3,9,NONPOC,ALL_SESSIONS,true
R04,C02_ACTIVITY_MATCHED,0,0,1,1,1,1,1,1,1,NONPOC,RTH_AFTERNOON,true
R04,C02_ACTIVITY_MATCHED,0,0,4,4,11,14,3,14,14,NONPOC,RTH_MIDDAY,true
R04,C02_ACTIVITY_MATCHED,0,0,1,1,0,0,0,0,0,NONPOC,RTH_MORNING,true
R04,C02_ACTIVITY_MATCHED,0,0,13,13,1,0,0,2,3,NONPOC,RTH_OPEN,true
R05,C02_ACTIVITY_MATCHED,1,1.82,55,54,10.5,6,3,14,24,NONPOC,ALL_SESSIONS,false
R05,C02_ACTIVITY_MATCHED,1,16.67,6,5,15.4,8,7,24,24,NONPOC,RTH_AFTERNOON,true
R05,C02_ACTIVITY_MATCHED,0,0,8,8,11.1,12,1,12,29,NONPOC,RTH_MIDDAY,true
R05,C02_ACTIVITY_MATCHED,0,0,41,41,9.8,6,3,14,22,NONPOC,RTH_MORNING,false
ALL_ANCHORS,TREATED,2,0.75,267,265,25.9,4,1,20,75,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,TREATED,0,0,48,48,99,74,24,121,161,NONPOC,ETH_EVENING,false
ALL_ANCHORS,TREATED,0,0,21,21,36.1,21,8,51,77,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,TREATED,2,11.11,18,16,11.7,8,1,15,20,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,TREATED,0,0,22,22,7.9,4,1,10,18,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,TREATED,0,0,64,64,11.3,4,1,10,24,NONPOC,RTH_MORNING,false
ALL_ANCHORS,TREATED,0,0,94,94,2.8,1,0,3,8,NONPOC,RTH_OPEN,false
R01,TREATED,0,0,69,69,79.8,47,20,111,153,NONPOC,ALL_SESSIONS,false
R01,TREATED,0,0,48,48,99,74,24,121,161,NONPOC,ETH_EVENING,false
R01,TREATED,0,0,21,21,36.1,21,8,51,77,NONPOC,ETH_OVERNIGHT,true
R02,TREATED,0,0,66,66,5.3,2,0,8,14,NONPOC,ALL_SESSIONS,false
R02,TREATED,0,0,11,11,6.8,5,0,10,18,NONPOC,RTH_AFTERNOON,true
R02,TREATED,0,0,5,5,1.4,1,1,2,2,NONPOC,RTH_MIDDAY,true
R02,TREATED,0,0,8,8,13.1,8,1,21,24,NONPOC,RTH_MORNING,true
R02,TREATED,0,0,42,42,3.9,2,0,5,8,NONPOC,RTH_OPEN,false
R03,TREATED,0,0,54,54,3.4,2,0,3,8,NONPOC,ALL_SESSIONS,false
R03,TREATED,0,0,7,7,9.3,8,3,11,18,NONPOC,RTH_MIDDAY,true
R03,TREATED,0,0,9,9,3.6,3,1,3,3,NONPOC,RTH_MORNING,true
R03,TREATED,0,0,38,38,2.3,1,0,3,5,NONPOC,RTH_OPEN,false
R04,TREATED,0,0,22,22,3,1,0,2,7,NONPOC,ALL_SESSIONS,true
R04,TREATED,0,0,2,2,4,7,1,1,1,NONPOC,RTH_AFTERNOON,true
R04,TREATED,0,0,4,4,12.8,15,3,15,15,NONPOC,RTH_MIDDAY,true
R04,TREATED,0,0,2,2,0.5,1,0,0,0,NONPOC,RTH_MORNING,true
R04,TREATED,0,0,14,14,0.5,0,0,1,1,NONPOC,RTH_OPEN,true
R05,TREATED,2,3.57,56,54,13.7,6,2,13,30,NONPOC,ALL_SESSIONS,false
R05,TREATED,2,40,5,3,34.7,26,15,26,26,NONPOC,RTH_AFTERNOON,true
R05,TREATED,0,0,6,6,8.3,6,1,6,10,NONPOC,RTH_MIDDAY,true
R05,TREATED,0,0,45,45,13,4,2,11,24,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,2,0.37,544,539,22.1,3,0,16,61,POC,ALL_SESSIONS,false
ALL_ANCHORS,C01_NEUTRAL,0,0,90,90,90.6,67,22,128,195,POC,ETH_EVENING,false
ALL_ANCHORS,C01_NEUTRAL,1,2.5,40,38,48.3,35,12,51,86,POC,ETH_OVERNIGHT,false
ALL_ANCHORS,C01_NEUTRAL,1,4.76,21,18,13.6,12,3,17,26,POC,RTH_AFTERNOON,true
ALL_ANCHORS,C01_NEUTRAL,0,0,33,33,7.8,5,1,14,18,POC,RTH_MIDDAY,false
ALL_ANCHORS,C01_NEUTRAL,0,0,139,139,7.5,5,2,10,17,POC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,221,221,1.7,0,0,2,5,POC,RTH_OPEN,false
R01,C01_NEUTRAL,1,0.77,130,128,78,51,18,101,193,POC,ALL_SESSIONS,false
R01,C01_NEUTRAL,0,0,90,90,90.6,67,22,128,195,POC,ETH_EVENING,false
R01,C01_NEUTRAL,1,2.5,40,38,48.3,35,12,51,86,POC,ETH_OVERNIGHT,false
R02,C01_NEUTRAL,1,1.12,89,87,5.3,2,0,7,15,POC,ALL_SESSIONS,false
R02,C01_NEUTRAL,1,11.11,9,7,10.6,7,3,17,19,POC,RTH_AFTERNOON,true
R02,C01_NEUTRAL,0,0,8,8,6.5,1,0,15,17,POC,RTH_MIDDAY,true
R02,C01_NEUTRAL,0,0,13,13,8.5,7,3,10,11,POC,RTH_MORNING,true
R02,C01_NEUTRAL,0,0,59,59,3.7,2,0,5,8,POC,RTH_OPEN,false
R03,C01_NEUTRAL,0,0,105,105,1.9,0,0,2,4,POC,ALL_SESSIONS,false
R03,C01_NEUTRAL,0,0,5,5,8.8,3,3,12,12,POC,RTH_AFTERNOON,true
R03,C01_NEUTRAL,0,0,7,7,6.6,3,0,3,14,POC,RTH_MIDDAY,true
R03,C01_NEUTRAL,0,0,3,3,1,1,0,1,1,POC,RTH_MORNING,true
R03,C01_NEUTRAL,0,0,90,90,1.2,0,0,1,3,POC,RTH_OPEN,false
R04,C01_NEUTRAL,0,0,82,82,1.7,0,0,1,3,POC,ALL_SESSIONS,false
R04,C01_NEUTRAL,0,0,1,1,55,55,55,55,55,POC,RTH_AFTERNOON,true
R04,C01_NEUTRAL,0,0,5,5,7,4,3,10,10,POC,RTH_MIDDAY,true
R04,C01_NEUTRAL,0,0,4,4,1.5,0,0,0,0,POC,RTH_MORNING,true
R04,C01_NEUTRAL,0,0,72,72,0.6,0,0,1,1,POC,RTH_OPEN,false
R05,C01_NEUTRAL,0,0,138,137,8.2,5,2,11,17,POC,ALL_SESSIONS,false
R05,C01_NEUTRAL,0,0,6,5,14.4,13,11,14,14,POC,RTH_AFTERNOON,true
R05,C01_NEUTRAL,0,0,13,13,9.5,8,5,11,14,POC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,119,119,7.8,5,2,10,17,POC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,2,0.54,370,368,21.7,4,1,17,60,POC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,58,58,87.7,60,19,118,189,POC,ETH_EVENING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,32,32,39.2,23,9,55,78,POC,ETH_OVERNIGHT,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,2,10,20,18,14,9,1,16,36,POC,RTH_AFTERNOON,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,19,19,11.7,10,2,18,21,POC,RTH_MIDDAY,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,107,107,9,5,3,11,22,POC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,134,134,1.5,0,0,2,4,POC,RTH_OPEN,false
R01,C02_ACTIVITY_MATCHED,0,0,90,90,70.5,46,14,83,185,POC,ALL_SESSIONS,false
R01,C02_ACTIVITY_MATCHED,0,0,58,58,87.7,60,19,118,189,POC,ETH_EVENING,false
R01,C02_ACTIVITY_MATCHED,0,0,32,32,39.2,23,9,55,78,POC,ETH_OVERNIGHT,false
R02,C02_ACTIVITY_MATCHED,1,1.39,72,71,5.6,3,0,4,13,POC,ALL_SESSIONS,false
R02,C02_ACTIVITY_MATCHED,1,10,10,9,16.3,9,1,36,36,POC,RTH_AFTERNOON,true
R02,C02_ACTIVITY_MATCHED,0,0,4,4,8.5,7,0,7,7,POC,RTH_MIDDAY,true
R02,C02_ACTIVITY_MATCHED,0,0,11,11,8.4,3,1,6,27,POC,RTH_MORNING,true
R02,C02_ACTIVITY_MATCHED,0,0,47,47,2.6,2,0,3,4,POC,RTH_OPEN,false
R03,C02_ACTIVITY_MATCHED,0,0,52,52,2.2,1,0,2,6,POC,ALL_SESSIONS,false
R03,C02_ACTIVITY_MATCHED,0,0,2,2,4.5,8,1,1,1,POC,RTH_AFTERNOON,true
R03,C02_ACTIVITY_MATCHED,0,0,4,4,12.2,18,0,18,18,POC,RTH_MIDDAY,true
R03,C02_ACTIVITY_MATCHED,0,0,3,3,2.3,3,1,3,3,POC,RTH_MORNING,true
R03,C02_ACTIVITY_MATCHED,0,0,43,43,1.2,0,0,1,3,POC,RTH_OPEN,false
R04,C02_ACTIVITY_MATCHED,0,0,51,51,1.5,0,0,1,3,POC,ALL_SESSIONS,false
R04,C02_ACTIVITY_MATCHED,0,0,2,2,0.5,1,0,0,0,POC,RTH_AFTERNOON,true
R04,C02_ACTIVITY_MATCHED,0,0,2,2,9,18,0,0,0,POC,RTH_MIDDAY,true
R04,C02_ACTIVITY_MATCHED,0,0,3,3,11.3,1,0,1,1,POC,RTH_MORNING,true
R04,C02_ACTIVITY_MATCHED,0,0,44,44,0.5,0,0,0,1,POC,RTH_OPEN,false
R05,C02_ACTIVITY_MATCHED,1,0.95,105,104,10.1,5,3,13,22,POC,ALL_SESSIONS,false
R05,C02_ACTIVITY_MATCHED,1,16.67,6,5,19,16,12,31,31,POC,RTH_AFTERNOON,true
R05,C02_ACTIVITY_MATCHED,0,0,9,9,13.6,12,5,13,20,POC,RTH_MIDDAY,true
R05,C02_ACTIVITY_MATCHED,0,0,90,90,9.2,5,3,12,21,POC,RTH_MORNING,false
ALL_ANCHORS,TREATED,3,0.56,533,530,23.9,4,1,16,69,POC,ALL_SESSIONS,false
ALL_ANCHORS,TREATED,0,0,89,89,93.6,76,26,122,209,POC,ETH_EVENING,false
ALL_ANCHORS,TREATED,0,0,45,45,52.7,36,10,54,136,POC,ETH_OVERNIGHT,false
ALL_ANCHORS,TREATED,3,12,25,22,12.4,11,3,17,23,POC,RTH_AFTERNOON,true
ALL_ANCHORS,TREATED,0,0,30,30,7.1,5,0,11,16,POC,RTH_MIDDAY,false
ALL_ANCHORS,TREATED,0,0,139,139,7.9,5,1,9,20,POC,RTH_MORNING,false
ALL_ANCHORS,TREATED,0,0,205,205,2,1,0,2,6,POC,RTH_OPEN,false
R01,TREATED,0,0,134,134,79.9,52,16,114,188,POC,ALL_SESSIONS,false
R01,TREATED,0,0,89,89,93.6,76,26,122,209,POC,ETH_EVENING,false
R01,TREATED,0,0,45,45,52.7,36,10,54,136,POC,ETH_OVERNIGHT,false
R02,TREATED,2,2.27,88,86,4.9,2,1,6,12,POC,ALL_SESSIONS,false
R02,TREATED,2,20,10,8,8.2,7,3,12,16,POC,RTH_AFTERNOON,true
R02,TREATED,0,0,7,7,4.6,1,0,2,3,POC,RTH_MIDDAY,true
R02,TREATED,0,0,15,15,7.9,5,1,9,14,POC,RTH_MORNING,true
R02,TREATED,0,0,56,56,3.6,2,0,5,9,POC,RTH_OPEN,false
R03,TREATED,0,0,98,98,2.2,1,0,2,6,POC,ALL_SESSIONS,false
R03,TREATED,0,0,4,4,1.8,3,0,3,3,POC,RTH_AFTERNOON,true
R03,TREATED,0,0,7,7,7.6,2,0,10,13,POC,RTH_MIDDAY,true
R03,TREATED,0,0,5,5,0.2,0,0,0,0,POC,RTH_MORNING,true
R03,TREATED,0,0,82,82,1.9,1,0,2,5,POC,RTH_OPEN,false
R04,TREATED,0,0,77,77,1.3,0,0,1,2,POC,ALL_SESSIONS,false
R04,TREATED,0,0,2,2,13,25,1,1,1,POC,RTH_AFTERNOON,true
R04,TREATED,0,0,4,4,7.5,12,0,12,12,POC,RTH_MIDDAY,true
R04,TREATED,0,0,4,4,1,1,0,1,1,POC,RTH_MORNING,true
R04,TREATED,0,0,67,67,0.6,0,0,1,2,POC,RTH_OPEN,false
R05,TREATED,1,0.74,136,135,9.2,6,3,11,22,POC,ALL_SESSIONS,false
R05,TREATED,1,11.11,9,8,21.6,20,11,23,28,POC,RTH_AFTERNOON,true
R05,TREATED,0,0,12,12,8.2,9,3,11,12,POC,RTH_MIDDAY,true
R05,TREATED,0,0,115,115,8.5,6,2,9,22,POC,RTH_MORNING,false
