contract,family,freeze_time,max_raw_activity,mean_active_tpo,mean_active_volume,median_raw_activity,positive_tpo_ticks,positive_volume_ticks,profile_id,session_date,source_date,year
NQM9,prior_rth,2019-04-29T16:00:00-04:00,2.46591234550075176841798493597263723991,22.17901234567901234567901235,1481.981481481481481481481481,0.897148170335525224781204379,162,162,0b75d6b06fb954ab32d6,2019-04-30,2019-04-29,2019
NQH0,prior_rth,2019-12-19T16:00:00-05:00,3.216449594082430734475604117940677281214,11.6,848.3227272727272727272727286,0.714414427514077389835844559,220,220,0b8959dd7dcbd51641bf,2019-12-20,2019-12-19,2019
NQU9,opening_hour_rth,2019-08-26T10:30:00-04:00,1.825825301624373429035035534181545132669,8.904109589041095890410958904,497.4474885844748858447488571,1.087132537938798569258001472235765659732,219,219,0bbd3bf7d447b8eac1a2,2019-08-26,2019-08-26,2019
NQM9,midnight,2019-04-15T09:30:00-04:00,2.108997797471264428588607378250741283472,29.43548387096774193548387097,476.0322580645161290322580642,0.959188875938722395508272274,62,62,0c46dfbea6a39bfe6b32,2019-04-15,2019-04-15,2019
NQM9,prior_rth,2019-03-14T16:00:00-04:00,1.999343303806158716781041190437852287764,39,2191.205357142857142857142857,0.8547546803501970005765300165,112,112,0c8a1f406e0e5bca8ff7,2019-03-15,2019-03-14,2019
NQU9,full_overnight,2019-09-12T09:30:00-04:00,3.117055206859181347773015559042641010397,29.21594684385382059800664452,398.3787375415282392026578047,1.083327375708343013676772094458410499177,301,301,0cab395ad3c3958b7e80,2019-09-12,2019-09-12,2019
NQU9,midnight,2019-08-26T09:30:00-04:00,5.675477553800660303674715692683320257118,17.82129277566539923954372624,244.4892268694550063371356138,0.5313929647534529300203482287875821644112,789,789,0cb9d8bc15299fbd9847,2019-08-26,2019-08-26,2019
NQM9,midnight,2019-03-11T09:30:00-04:00,2.949480925296297765216609503166385130725,21.40287769784172661870503597,249.7769784172661870503597125,0.8622329576327727169315756699872189120029,139,139,0d2906930226b18dbabc,2019-03-11,2019-03-11,2019
NQH9,midnight,2019-02-06T09:30:00-05:00,2.716294564304562578109372100521384234126,20.42105263157894736842105263,304.9868421052631578947368422,0.818775526632999068948614457,152,152,0d4843f06f8a0ba2bdca,2019-02-06,2019-02-06,2019
NQM9,prior_rth,2019-04-02T16:00:00-04:00,2.696919882692139543771640484208064292284,20.43783783783783783783783784,1540.929729729729729729729732,0.9084442494065338844571568378717386440814,185,185,0d66bae753478c067f42,2019-04-03,2019-04-02,2019
NQZ9,prior_rth,2019-12-10T16:00:00-05:00,2.728692856513534145216808233431134710465,19.07563025210084033613445378,1038.613445378151260504201681,0.955207726237864921776793575,238,238,0dd2695b9472a4bcd6b3,2019-12-11,2019-12-10,2019
NQZ9,prior_rth,2019-10-15T16:00:00-04:00,4.338046108309796448218870522960357339884,10.7175,616.8175000000000000000000012,0.6512308807303131142266726305,400,400,0e4744e3a89c179e0fd4,2019-10-16,2019-10-15,2019
NQM9,prior_rth,2019-04-11T16:00:00-04:00,2.518794723685633735384448129088519373596,21.33510638297872340425531915,1387.675531914893617021276594,1.092848969506318879161852066,188,188,0e648178b8149488435f,2019-04-12,2019-04-11,2019
NQU9,prior_rth,2019-07-25T16:00:00-04:00,2.454809686660469878599652735444504875455,24.01123595505617977528089888,1230.857677902621722846441947,0.9431171013516300124202647108148395419519,267,267,0edf6b5c1d0568bff8da,2019-07-26,2019-07-25,2019
NQH9,midnight,2019-01-11T09:30:00-05:00,2.268802145358050890887481220056191213765,25.27272727272727272727272727,294.5113636363636363636363639,0.983880748892102621776871031,176,176,0f91db81e1a0ee00f2ef,2019-01-11,2019-01-11,2019
NQU9,opening_hour_rth,2019-07-19T10:30:00-04:00,2.383057072533509580265869500376041881466,6.835227272727272727272727273,449.9602272727272727272727274,1.067830697839044230702841406,176,176,0fa92c126fa7f91aa9a5,2019-07-19,2019-07-19,2019
NQU9,prior_rth,2019-09-11T16:00:00-04:00,3.485158301012057308261400833968103099402,14.6036036036036036036036036,796.7867867867867867867867877,0.7204668583442154803388294688001331280234,333,333,0fdecf3a7cead46ffa95,2019-09-12,2019-09-11,2019
NQM9,midnight,2019-06-12T09:30:00-04:00,2.910215247045186175557443379732065533354,29.25694444444444444444444444,474.6527777777777777777777781,0.8090836046379682960352657345,144,144,1009a9a4f50e07b22f58,2019-06-12,2019-06-12,2019
NQU9,midnight,2019-07-18T09:30:00-04:00,3.29137971470788613481615948093518339103,15.5,264.4464285714285714285714285,0.796901724641453243555533252,224,224,108932cde6d31faddd69,2019-07-18,2019-07-18,2019
