bin_ratio,contiguous,contract,family,poc_inside,profile_id,relationship_id,session_date,volume_POC,volume_VAH,volume_VAL,volume_value_area_bin_count,volume_value_area_volume_share,year
0.2,true,NQM9,opening_hour_rth,true,cd9558226227fa4f6f7f,R05,2019-05-29,7228.25,7240,7218.5,43,0.7036915156434612375703643439,2019
0.1,true,NQM9,opening_hour_rth,true,cd95bc88dec69d734d66,R05,2019-04-09,7605.875,7614.5,7598.75,63,0.7022308097859185769379344466,2019
0.2,true,NQZ9,prior_rth,true,cd98b39fdf748b1e3477,R01,2019-11-26,8363.875,8375.5,8355,82,0.7041867489401312918373484937,2019
0.2,true,NQZ9,prior_rth,true,cd98b39fdf748b1e3477,R02,2019-11-26,8363.875,8375.5,8355,82,0.7041867489401312918373484937,2019
0.05,true,NQZ9,opening_hour_rth,true,cdbd159c7cef6515c034,R05,2019-12-13,8512.625,8520,8473.75,185,0.7004353535065724489020591145,2019
0.05,true,NQH0,opening_hour_rth,true,cdc3c3ab31f7d51273c5,R05,2019-12-18,8622.625,8625,8615.25,39,0.7054307124737545562893345552,2019
0.05,true,NQZ9,prior_rth,true,cdd6317216e01f582dc0,R01,2019-10-29,8115.625,8122.5,8097.5,100,0.7003488808817003876832483121,2019
0.05,true,NQZ9,prior_rth,true,cdd6317216e01f582dc0,R02,2019-10-29,8115.625,8122.5,8097.5,100,0.7003488808817003876832483121,2019
0.05,true,NQU9,opening_hour_rth,true,cdd9387744989635ea69,R05,2019-06-19,7654.375,7661.5,7645.5,64,0.7039514983700758924196954846,2019
0.05,true,NQU9,midnight,true,cde36a7ef0d3f134face,R04,2019-08-29,7686.625,7701.25,7650,205,0.7014280590684587731983821727,2019
0.2,true,NQH9,midnight,true,cde98011b57b426de068,R04,2019-02-13,7046.875,7057,7044.5,50,0.700415507189089264775322884,2019
0.2,true,NQH0,opening_hour_rth,true,ce0b40b8959f2fd88f74,R05,2019-12-16,8598.875,8607,8584.5,90,0.7031899478315668863892076082,2019
0.1,true,NQM9,prior_rth,true,ce15ad161059973a97a8,R01,2019-06-06,7203.375,7216.5,7179.5,148,0.7027909580909835828000208662,2019
0.1,true,NQM9,prior_rth,true,ce15ad161059973a97a8,R02,2019-06-06,7203.375,7216.5,7179.5,148,0.7027909580909835828000208662,2019
0.05,true,NQM9,midnight,true,ce4ed6b0b15afeb1ff2e,R04,2019-06-07,7307.875,7329.5,7298.75,123,0.7026853806982816590844576296,2019
0.2,true,NQH0,midnight,true,ce5cf2632e858511ce4e,R04,2019-12-16,8551.625,8565.25,8545.25,80,0.7016215973445345133460197812,2019
0.1,true,NQH0,opening_hour_rth,true,ce7e3e233eb71fbfc519,R05,2019-12-18,8622.625,8625,8615.25,39,0.7054307124737545562893345552,2019
0.2,true,NQH9,opening_hour_rth,true,ce96c5035086f47385d6,R05,2019-01-17,6682.75,6692.5,6666,53,0.7040609271443375692450593558,2019
