bin_ratio,contract,family,mean_active_tpo,mean_active_volume,positive_tpo_bins,positive_volume_bins,profile_id,relationship_id,session_date,year
0.2,NQM9,prior_rth,26.67295597484276729559748428,2654.415094339622641509433965,159,159,e2767dac4c92c548c0c4,R02,2019-05-30,2019
0.2,NQU9,prior_rth,16.04216867469879518072289157,1757.463855421686746987951807,166,166,e288b20ee96fba062620,R01,2019-09-06,2019
0.2,NQU9,prior_rth,16.04216867469879518072289157,1757.463855421686746987951807,166,166,e288b20ee96fba062620,R02,2019-09-06,2019
0.05,NQZ9,prior_rth,13.05131761442441054091539528,634.0665742024965325936199752,721,721,e2b007409010bb0eeade,R01,2019-10-04,2019
0.05,NQZ9,prior_rth,13.05131761442441054091539528,634.0665742024965325936199752,721,721,e2b007409010bb0eeade,R02,2019-10-04,2019
0.1,NQU9,prior_rth,13.65481171548117154811715481,699.5334728033472803347280343,478,478,e2d0ea146985280b839f,R01,2019-08-23,2019
0.1,NQU9,prior_rth,13.65481171548117154811715481,699.5334728033472803347280343,478,478,e2d0ea146985280b839f,R02,2019-08-23,2019
0.2,NQM9,full_overnight,42.11235955056179775280898876,1094.79775280898876404494382,89,89,e2de561b3d77f6b17edf,R03,2019-03-27,2019
0.05,NQH9,full_overnight,40.3609467455621301775147929,635.0532544378698224852071006,169,169,e2e88eee066d69531f34,R03,2019-01-31,2019
0.2,NQM9,midnight,31.51851851851851851851851852,595.2839506172839506172839506,81,81,e30188e7a2fb61968cea,R04,2019-04-10,2019
0.2,NQU9,prior_rth,23.71428571428571428571428571,3613.802197802197802197802199,91,91,e302a39f0ea4ccd2cfd9,R01,2019-07-11,2019
0.2,NQU9,prior_rth,23.71428571428571428571428571,3613.802197802197802197802199,91,91,e302a39f0ea4ccd2cfd9,R02,2019-07-11,2019
0.1,NQU9,midnight,20.48898678414096916299559471,356.0969162995594713656387664,227,227,e30576c3fc2608f1e6d4,R04,2019-08-01,2019
0.2,NQM9,full_overnight,32.824,902.1439999999999999999999968,125,125,e313b8bcf9badd9c992b,R03,2019-03-28,2019
0.05,NQH9,prior_rth,15.60752688172043010752688172,890.3548387096774193548387091,372,372,e36fd30b5c25f22273ce,R01,2019-01-30,2019
0.05,NQH9,prior_rth,15.60752688172043010752688172,890.3548387096774193548387091,372,372,e36fd30b5c25f22273ce,R02,2019-01-30,2019
0.2,NQH9,prior_rth,21.16216216216216216216216216,3401.189189189189189189189185,111,111,e3906c2b0535275cafc0,R01,2019-02-15,2019
0.2,NQH9,prior_rth,21.16216216216216216216216216,3401.189189189189189189189185,111,111,e3906c2b0535275cafc0,R02,2019-02-15,2019
0.2,NQH0,prior_rth,27.37068965517241379310344828,1505.094827586206896551724129,116,116,e39305ec35f426e9d96d,R01,2019-12-18,2019
0.2,NQH0,prior_rth,27.37068965517241379310344828,1505.094827586206896551724129,116,116,e39305ec35f426e9d96d,R02,2019-12-18,2019
0.05,NQU9,full_overnight,26.63753213367609254498714653,352.0257069408740359897172239,389,389,e3d2b0c1ca326310991c,R03,2019-08-27,2019
0.1,NQZ9,full_overnight,25.22697368421052631578947368,418.3157894736842105263157908,304,304,e3db9e72d72202fcfde8,R03,2019-09-25,2019
0.05,NQZ9,midnight,26.8627450980392156862745098,449.8954248366013071895424839,153,153,e3f508166412dd66465a,R04,2019-10-23,2019
0.05,NQH9,opening_hour_rth,7.137362637362637362637362637,503.4725274725274725274725271,182,182,e401ab3020d12001556c,R05,2019-01-25,2019
0.1,NQM9,midnight,20.05806451612903225806451613,313.1225806451612903225806452,310,310,e449e4dddf2ad8132d89,R04,2019-05-09,2019
0.2,NQU9,midnight,32.49586776859504132231404959,740.8677685950413223140495864,121,121,e4762d1683b0d1935e34,R04,2019-08-08,2019
0.1,NQH9,opening_hour_rth,7.804733727810650887573964497,599.4615384615384615384615373,169,169,e48a40b971d5b4a98679,R05,2019-01-30,2019
0.1,NQZ9,prior_rth,13.54703832752613240418118467,830.1602787456445993031358878,287,287,e49acfc9c84e3e77b412,R01,2019-11-11,2019
