population,volume,displacement,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
POC,below_normal,0.5_1.0,15,C01_NEUTRAL,9,12,11.11,58.33,-47.22,3/4,False,True,50.00,0.00,0.00,0.00
POC,below_normal,0.5_1.0,15,C02_ACTIVITY_MATCHED,9,2,11.11,100.00,-88.89,2/4,False,True,50.00,0.00,0.00,0.00
POC,below_normal,0.5_1.0,30,C01_NEUTRAL,9,12,0.00,75.00,-75.00,3/4,False,True,0.00,0.00,0.00,0.00
POC,below_normal,0.5_1.0,30,C02_ACTIVITY_MATCHED,9,2,0.00,100.00,-100.00,2/4,False,True,0.00,0.00,0.00,0.00
POC,below_normal,0.5_1.0,60,C01_NEUTRAL,9,12,22.22,66.67,-44.45,2/4,False,True,50.00,0.00,25.00,0.00
POC,below_normal,0.5_1.0,60,C02_ACTIVITY_MATCHED,9,2,22.22,100.00,-77.78,2/4,False,True,50.00,0.00,25.00,0.00
POC,below_normal,1.0_1.5,15,C01_NEUTRAL,27,25,48.15,44.00,4.15,2/4,False,True,50.00,66.67,63.64,12.50
POC,below_normal,1.0_1.5,15,C02_ACTIVITY_MATCHED,27,21,48.15,61.90,-13.75,3/4,False,True,50.00,66.67,63.64,12.50
POC,below_normal,1.0_1.5,30,C01_NEUTRAL,27,25,59.26,44.00,15.26,4/4,False,True,100.00,50.00,72.73,37.50
POC,below_normal,1.0_1.5,30,C02_ACTIVITY_MATCHED,27,21,59.26,61.90,-2.64,2/4,False,True,100.00,50.00,72.73,37.50
POC,below_normal,1.0_1.5,60,C01_NEUTRAL,27,25,44.44,48.00,-3.56,1/4,False,True,100.00,33.33,63.64,12.50
POC,below_normal,1.0_1.5,60,C02_ACTIVITY_MATCHED,27,21,44.44,61.90,-17.46,2/4,False,True,100.00,33.33,63.64,12.50
POC,below_normal,gt_1.5,15,C01_NEUTRAL,1777,1740,52.11,50.34,1.77,3/4,True,False,52.62,50.72,54.67,50.49
POC,below_normal,gt_1.5,15,C02_ACTIVITY_MATCHED,1777,1263,52.11,50.99,1.12,3/4,True,False,52.62,50.72,54.67,50.49
POC,below_normal,gt_1.5,30,C01_NEUTRAL,1772,1738,49.60,50.00,-0.40,2/4,False,False,51.37,47.75,50.34,49.14
POC,below_normal,gt_1.5,30,C02_ACTIVITY_MATCHED,1772,1258,49.60,48.09,1.51,3/4,True,False,51.37,47.75,50.34,49.14
POC,below_normal,gt_1.5,60,C01_NEUTRAL,1762,1728,50.85,50.87,-0.02,1/4,False,False,50.80,51.65,50.23,50.61
POC,below_normal,gt_1.5,60,C02_ACTIVITY_MATCHED,1762,1248,50.85,48.96,1.89,3/4,True,False,50.80,51.65,50.23,50.61
POC,normal,0.5_1.0,15,C01_NEUTRAL,3,1,0.00,100.00,-100.00,1/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,15,C02_ACTIVITY_MATCHED,3,1,0.00,100.00,-100.00,0/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,30,C01_NEUTRAL,3,1,0.00,100.00,-100.00,1/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,30,C02_ACTIVITY_MATCHED,3,1,0.00,100.00,-100.00,0/4,False,True,0.00,,0.00,
POC,normal,0.5_1.0,60,C01_NEUTRAL,3,1,33.33,100.00,-66.67,1/4,False,True,100.00,,0.00,
POC,normal,0.5_1.0,60,C02_ACTIVITY_MATCHED,3,1,33.33,100.00,-66.67,0/4,False,True,100.00,,0.00,
POC,normal,1.0_1.5,15,C01_NEUTRAL,4,4,25.00,25.00,0.00,0/4,False,True,,50.00,,0.00
POC,normal,1.0_1.5,15,C02_ACTIVITY_MATCHED,4,3,25.00,66.67,-41.67,1/4,False,True,,50.00,,0.00
POC,normal,1.0_1.5,30,C01_NEUTRAL,4,4,50.00,50.00,0.00,0/4,False,True,,50.00,,50.00
POC,normal,1.0_1.5,30,C02_ACTIVITY_MATCHED,4,3,50.00,33.33,16.67,1/4,False,True,,50.00,,50.00
POC,normal,1.0_1.5,60,C01_NEUTRAL,4,4,75.00,50.00,25.00,2/4,False,True,,100.00,,50.00
POC,normal,1.0_1.5,60,C02_ACTIVITY_MATCHED,4,3,75.00,33.33,41.67,0/4,False,True,,100.00,,50.00
POC,normal,gt_1.5,15,C01_NEUTRAL,573,570,50.44,49.65,0.79,2/4,False,False,41.67,50.00,52.56,58.40
POC,normal,gt_1.5,15,C02_ACTIVITY_MATCHED,573,390,50.44,45.13,5.31,4/4,True,False,41.67,50.00,52.56,58.40
POC,normal,gt_1.5,30,C01_NEUTRAL,573,569,52.36,49.56,2.80,3/4,True,False,50.69,51.35,49.36,59.20
POC,normal,gt_1.5,30,C02_ACTIVITY_MATCHED,573,390,52.36,50.26,2.10,2/4,False,False,50.69,51.35,49.36,59.20
POC,normal,gt_1.5,60,C01_NEUTRAL,564,563,52.84,52.04,0.80,2/4,False,False,47.89,53.10,53.59,57.26
POC,normal,gt_1.5,60,C02_ACTIVITY_MATCHED,564,385,52.84,49.61,3.23,3/4,True,False,47.89,53.10,53.59,57.26
POC,elevated,0.5_1.0,15,C02_ACTIVITY_MATCHED,1,2,100.00,100.00,0.00,0/4,False,True,,100.00,,
POC,elevated,0.5_1.0,30,C02_ACTIVITY_MATCHED,1,2,100.00,50.00,50.00,0/4,False,True,,100.00,,
POC,elevated,0.5_1.0,60,C02_ACTIVITY_MATCHED,1,2,100.00,50.00,50.00,0/4,False,True,,100.00,,
POC,elevated,1.0_1.5,15,C01_NEUTRAL,1,4,0.00,50.00,-50.00,1/4,False,True,,0.00,,
POC,elevated,1.0_1.5,15,C02_ACTIVITY_MATCHED,1,1,0.00,0.00,0.00,0/4,False,True,,0.00,,
POC,elevated,1.0_1.5,30,C01_NEUTRAL,1,4,0.00,50.00,-50.00,1/4,False,True,,0.00,,
POC,elevated,1.0_1.5,30,C02_ACTIVITY_MATCHED,1,1,0.00,0.00,0.00,0/4,False,True,,0.00,,
POC,elevated,1.0_1.5,60,C01_NEUTRAL,1,4,0.00,50.00,-50.00,1/4,False,True,,0.00,,
POC,elevated,1.0_1.5,60,C02_ACTIVITY_MATCHED,1,1,0.00,0.00,0.00,0/4,False,True,,0.00,,
POC,elevated,gt_1.5,15,C01_NEUTRAL,214,225,49.53,48.00,1.53,2/4,False,False,65.52,36.21,50.00,45.65
POC,elevated,gt_1.5,15,C02_ACTIVITY_MATCHED,214,145,49.53,50.34,-0.81,2/4,False,False,65.52,36.21,50.00,45.65
POC,elevated,gt_1.5,30,C01_NEUTRAL,213,225,51.64,48.89,2.75,2/4,False,False,64.91,43.10,50.00,47.83
POC,elevated,gt_1.5,30,C02_ACTIVITY_MATCHED,213,144,51.64,51.39,0.25,2/4,False,False,64.91,43.10,50.00,47.83
POC,elevated,gt_1.5,60,C01_NEUTRAL,209,220,51.67,52.73,-1.06,2/4,False,False,47.37,38.60,54.90,70.45
POC,elevated,gt_1.5,60,C02_ACTIVITY_MATCHED,209,141,51.67,56.74,-5.07,3/4,True,False,47.37,38.60,54.90,70.45
POC,extreme,1.0_1.5,15,C01_NEUTRAL,3,3,0.00,100.00,-100.00,1/4,False,True,0.00,0.00,0.00,
POC,extreme,1.0_1.5,15,C02_ACTIVITY_MATCHED,3,4,0.00,50.00,-50.00,1/4,False,True,0.00,0.00,0.00,
POC,extreme,1.0_1.5,30,C01_NEUTRAL,3,3,33.33,66.67,-33.34,1/4,False,True,0.00,0.00,100.00,
