population,anchor,volume,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,R04,normal,60,C02_ACTIVITY_MATCHED,40,33,47.50,45.45,2.05,3/4,True,False,42.86,46.15,50.00,50.00
NONPOC,R05,normal,15,C01_NEUTRAL,60,50,45.00,56.00,-11.00,4/4,True,False,30.77,52.63,44.44,50.00
NONPOC,R05,normal,15,C02_ACTIVITY_MATCHED,60,47,45.00,44.68,0.32,2/4,False,False,30.77,52.63,44.44,50.00
NONPOC,R05,normal,30,C01_NEUTRAL,60,50,60.00,62.00,-2.00,2/4,False,False,69.23,52.63,66.67,50.00
NONPOC,R05,normal,30,C02_ACTIVITY_MATCHED,60,46,60.00,54.35,5.65,2/4,False,False,69.23,52.63,66.67,50.00
NONPOC,R05,normal,60,C01_NEUTRAL,60,50,61.67,60.00,1.67,1/4,False,False,76.92,52.63,61.11,60.00
NONPOC,R05,normal,60,C02_ACTIVITY_MATCHED,60,46,61.67,58.70,2.97,2/4,False,False,76.92,52.63,61.11,60.00
NONPOC,R01,elevated,15,C01_NEUTRAL,48,51,60.42,52.94,7.48,2/4,False,False,60.00,57.14,64.71,58.33
NONPOC,R01,elevated,15,C02_ACTIVITY_MATCHED,48,52,60.42,50.00,10.42,2/4,False,False,60.00,57.14,64.71,58.33
NONPOC,R01,elevated,30,C01_NEUTRAL,48,50,52.08,54.00,-1.92,2/4,False,False,40.00,50.00,47.06,66.67
NONPOC,R01,elevated,30,C02_ACTIVITY_MATCHED,48,51,52.08,52.94,-0.86,2/4,False,False,40.00,50.00,47.06,66.67
NONPOC,R01,elevated,60,C01_NEUTRAL,46,48,45.65,54.17,-8.52,3/4,True,False,40.00,53.85,37.50,50.00
NONPOC,R01,elevated,60,C02_ACTIVITY_MATCHED,46,48,45.65,56.25,-10.60,3/4,True,False,40.00,53.85,37.50,50.00
NONPOC,R02,elevated,15,C01_NEUTRAL,23,25,43.48,36.00,7.48,3/4,False,True,0.00,44.44,75.00,33.33
NONPOC,R02,elevated,15,C02_ACTIVITY_MATCHED,23,17,43.48,41.18,2.30,3/4,False,True,0.00,44.44,75.00,33.33
