population,volume,displacement,efficiency,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,elevated,gt_1.5,high,60,C01_NEUTRAL,12,19,50.00,47.37,2.63,2/4,False,True,,33.33,66.67,33.33
NONPOC,elevated,gt_1.5,high,60,C02_ACTIVITY_MATCHED,12,12,50.00,75.00,-25.00,2/4,False,True,,33.33,66.67,33.33
NONPOC,extreme,0.5_1.0,low,15,C01_NEUTRAL,2,3,0.00,33.33,-33.33,1/4,False,True,,,0.00,
NONPOC,extreme,0.5_1.0,low,15,C02_ACTIVITY_MATCHED,2,1,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,extreme,0.5_1.0,low,30,C01_NEUTRAL,2,3,50.00,33.33,16.67,1/4,False,True,,,50.00,
NONPOC,extreme,0.5_1.0,low,30,C02_ACTIVITY_MATCHED,2,1,50.00,100.00,-50.00,1/4,False,True,,,50.00,
NONPOC,extreme,0.5_1.0,low,60,C01_NEUTRAL,2,3,100.00,33.33,66.67,1/4,False,True,,,100.00,
NONPOC,extreme,0.5_1.0,low,60,C02_ACTIVITY_MATCHED,2,1,100.00,100.00,0.00,0/4,False,True,,,100.00,
NONPOC,extreme,1.0_1.5,low,15,C01_NEUTRAL,2,1,100.00,100.00,0.00,0/4,False,True,,100.00,,100.00
NONPOC,extreme,1.0_1.5,low,15,C02_ACTIVITY_MATCHED,2,2,100.00,50.00,50.00,0/4,False,True,,100.00,,100.00
NONPOC,extreme,1.0_1.5,low,30,C01_NEUTRAL,2,1,50.00,100.00,-50.00,0/4,False,True,,100.00,,0.00
NONPOC,extreme,1.0_1.5,low,30,C02_ACTIVITY_MATCHED,2,2,50.00,0.00,50.00,0/4,False,True,,100.00,,0.00
NONPOC,extreme,1.0_1.5,low,60,C01_NEUTRAL,2,1,100.00,0.00,100.00,0/4,False,True,,100.00,,100.00
NONPOC,extreme,1.0_1.5,low,60,C02_ACTIVITY_MATCHED,2,2,100.00,50.00,50.00,0/4,False,True,,100.00,,100.00
NONPOC,extreme,gt_1.5,low,15,C01_NEUTRAL,138,131,50.72,54.20,-3.48,3/4,True,False,43.48,60.00,55.81,42.86
NONPOC,extreme,gt_1.5,low,15,C02_ACTIVITY_MATCHED,138,120,50.72,45.83,4.89,2/4,False,False,43.48,60.00,55.81,42.86
NONPOC,extreme,gt_1.5,low,30,C01_NEUTRAL,137,129,49.64,48.06,1.58,3/4,True,False,52.17,56.67,46.51,46.34
NONPOC,extreme,gt_1.5,low,30,C02_ACTIVITY_MATCHED,137,119,49.64,53.78,-4.14,2/4,False,False,52.17,56.67,46.51,46.34
NONPOC,extreme,gt_1.5,low,60,C01_NEUTRAL,130,125,53.85,56.80,-2.95,2/4,False,False,52.17,62.96,56.41,46.34
NONPOC,extreme,gt_1.5,low,60,C02_ACTIVITY_MATCHED,130,111,53.85,56.76,-2.91,3/4,True,False,52.17,62.96,56.41,46.34
NONPOC,extreme,gt_1.5,medium,15,C01_NEUTRAL,65,63,52.31,52.38,-0.07,2/4,False,False,40.00,41.67,63.64,65.00
NONPOC,extreme,gt_1.5,medium,15,C02_ACTIVITY_MATCHED,65,60,52.31,53.33,-1.02,2/4,False,False,40.00,41.67,63.64,65.00
