relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean,median,standard_deviation,iqr,expected_sign_share,ci_low,ci_high
R02,C01,tpo_range_occupancy,0.05,1.5,2023,1,0.2333333333333333333333333333,0.2333333333333333333333333333,,0,1,0.2333333333333333333333333333,0.2333333333333333333333333333
R02,C01,tpo_range_occupancy,0.05,1.5,2025,1,0.2666666666666666666666666667,0.2666666666666666666666666667,,0,1,0.2666666666666666666666666667,0.2666666666666666666666666667
R02,C01,tpo_range_occupancy,0.1,1.5,2021,5,-0.04666666666666666666666666666,-0.0666666666666666666666666667,0.1386442289539028098316925664,0.1666666666666666666666666666,0.2,-0.1466666666666666666666666667,0.0666666666666666666666666667
R02,C01,tpo_range_occupancy,0.1,1.5,2023,1,0.4,0.4,,0,1,0.4,0.4
R02,C01,tpo_range_occupancy,0.1,1.5,2025,1,0.3,0.3,,0,1,0.3,0.3
R02,C01,tpo_range_occupancy,0.2,1.5,2019,2,-0.15,-0.15,0.1649915822768610890268636845,0.1166666666666666666666666667,0,-0.2666666666666666666666666666,-0.0333333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,1.5,2021,1,0.4333333333333333333333333334,0.4333333333333333333333333334,,0,1,0.4333333333333333333333333334,0.4333333333333333333333333334
R02,C01,tpo_range_occupancy,0.2,1.5,2023,1,0.5,0.5,,0,1,0.5,0.5
R02,C01,tpo_range_occupancy,0.2,1.5,2025,1,-0.2333333333333333333333333333,-0.2333333333333333333333333333,,0,0,-0.2333333333333333333333333333,-0.2333333333333333333333333333
R02,C01,tpo_range_occupancy,0.2,1.5,2026,1,0.5,0.5,,0,1,0.5,0.5
R02,C01,uniform_bar_volume,0.05,1.5,2019,1,0.4,0.4,,0,1,0.4,0.4
R02,C01,uniform_bar_volume,0.05,1.5,2021,16,0.1312499999999999999999999999,0.0666666666666666666666666667,0.3239727354783629525251595924,0.2916666666666666666666666667,0.625,-0.0125,0.2916666666666666666666666667
R02,C01,uniform_bar_volume,0.05,1.5,2023,6,-0.2944444444444444444444444443,-0.3166666666666666666666666667,0.1597451674340057102640155679,0.2666666666666666666666666667,0,-0.4111111111111111111111111111,-0.1777777777777777777777777778
R02,C01,uniform_bar_volume,0.05,1.5,2025,7,-0.004761904761904761904761904757,0.06666666666666666666666666667,0.3027213432188282957699391361,0.25,0.5714285714285714285714285714,-0.2238095238095238095238095238,0.1857142857142857142857142857
R02,C01,uniform_bar_volume,0.05,1.5,2026,1,-0.0666666666666666666666666666,-0.0666666666666666666666666666,,0,0,-0.0666666666666666666666666666,-0.0666666666666666666666666666
R02,C01,uniform_bar_volume,0.05,2,2021,1,0.2333333333333333333333333334,0.2333333333333333333333333334,,0,1,0.2333333333333333333333333334,0.2333333333333333333333333334
R02,C01,uniform_bar_volume,0.1,1.5,2019,2,0.1833333333333333333333333333,0.1833333333333333333333333333,0.306412938514170593907032557,0.2166666666666666666666666666,0.5,-0.0333333333333333333333333334,0.4
R02,C01,uniform_bar_volume,0.1,1.5,2021,10,-0.01666666666666666666666666664,0.06666666666666666666666666668,0.2731842411809832592006555194,0.175,0.6,-0.2,0.12
R02,C01,uniform_bar_volume,0.1,1.5,2023,2,-0.1,-0.1,0.09428090415820633658677924831,0.0666666666666666666666666667,0,-0.1666666666666666666666666667,-0.03333333333333333333333333333
R02,C01,uniform_bar_volume,0.1,1.5,2025,1,0.2,0.2,,0,1,0.2,0.2
R02,C01,uniform_bar_volume,0.1,1.5,2026,1,0.1666666666666666666666666667,0.1666666666666666666666666667,,0,1,0.1666666666666666666666666667,0.1666666666666666666666666667
R02,C01,uniform_bar_volume,0.1,2,2021,2,0.1666666666666666666666666667,0.1666666666666666666666666667,0.09428090415820633658677924833,0.0666666666666666666666666666,1,0.1,0.2333333333333333333333333334
R02,C01,uniform_bar_volume,0.1,2,2025,1,0.2,0.2,,0,1,0.2,0.2
R02,C01,uniform_bar_volume,0.2,1.5,2019,3,0.2555555555555555555555555556,0.4333333333333333333333333334,0.5551109331909687294086127219,0.5333333333333333333333333333,0.6666666666666666666666666667,-0.3666666666666666666666666666,0.7
R02,C01,uniform_bar_volume,0.2,1.5,2021,5,-0.1333333333333333333333333333,0.03333333333333333333333333333,0.2962731472438529616697147225,0.4666666666666666666666666666,0.6,-0.3733333333333333333333333333,0.08666666666666666666666666667
R02,C01,uniform_bar_volume,0.2,1.5,2023,3,-0.2777777777777777777777777778,0,0.481125224324688137090957317,0.4166666666666666666666666667,0,-0.8333333333333333333333333333,0
