anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
R03,TREATED,0,0,6,6,8.7,4,1,4,14,NONPOC,RTH_MIDDAY,true
R03,TREATED,0,0,4,4,1.5,1,0,1,1,NONPOC,RTH_MORNING,true
R03,TREATED,0,0,32,32,2,1,0,2,4,NONPOC,RTH_OPEN,false
R04,TREATED,0,0,10,10,2.6,1,0,1,6,NONPOC,ALL_SESSIONS,true
R04,TREATED,0,0,1,1,6,6,6,6,6,NONPOC,RTH_AFTERNOON,true
R04,TREATED,0,0,3,3,1,1,0,1,1,NONPOC,RTH_MORNING,true
R04,TREATED,0,0,6,6,2.8,0,0,0,1,NONPOC,RTH_OPEN,true
R05,TREATED,0,0,72,72,10.8,5,2,15,25,NONPOC,ALL_SESSIONS,false
R05,TREATED,0,0,2,2,9.5,12,7,7,7,NONPOC,RTH_AFTERNOON,true
R05,TREATED,0,0,11,11,24.7,20,5,43,54,NONPOC,RTH_MIDDAY,true
R05,TREATED,0,0,59,59,8.2,5,2,10,21,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,3,0.62,480,476,38.1,4,1,22,114,POC,ALL_SESSIONS,false
ALL_ANCHORS,C01_NEUTRAL,0,0,76,76,170.6,125,37,224,441,POC,ETH_EVENING,false
ALL_ANCHORS,C01_NEUTRAL,2,4.44,45,43,66.5,52,25,101,121,POC,ETH_OVERNIGHT,false
ALL_ANCHORS,C01_NEUTRAL,1,6.67,15,13,8.1,3,1,9,15,POC,RTH_AFTERNOON,true
ALL_ANCHORS,C01_NEUTRAL,0,0,30,30,15.5,7,3,22,42,POC,RTH_MIDDAY,false
ALL_ANCHORS,C01_NEUTRAL,0,0,148,148,10,4,1,12,21,POC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,166,166,1.5,0,0,2,4,POC,RTH_OPEN,false
R01,C01_NEUTRAL,2,1.65,121,119,133,76,30,158,364,POC,ALL_SESSIONS,false
R01,C01_NEUTRAL,0,0,76,76,170.6,125,37,224,441,POC,ETH_EVENING,false
R01,C01_NEUTRAL,2,4.44,45,43,66.5,52,25,101,121,POC,ETH_OVERNIGHT,false
R02,C01_NEUTRAL,0,0,87,87,6.5,3,1,7,13,POC,ALL_SESSIONS,false
R02,C01_NEUTRAL,0,0,3,3,0.3,0,0,0,0,POC,RTH_AFTERNOON,true
R02,C01_NEUTRAL,0,0,12,12,20.9,12,3,23,38,POC,RTH_MIDDAY,true
R02,C01_NEUTRAL,0,0,17,17,8,4,3,13,16,POC,RTH_MORNING,true
R02,C01_NEUTRAL,0,0,55,55,3.2,2,1,5,8,POC,RTH_OPEN,false
R03,C01_NEUTRAL,0,0,80,80,1.5,0,0,2,3,POC,ALL_SESSIONS,false
R03,C01_NEUTRAL,0,0,3,3,11.3,9,1,9,9,POC,RTH_AFTERNOON,true
R03,C01_NEUTRAL,0,0,5,5,3.2,3,0,5,5,POC,RTH_MIDDAY,true
R03,C01_NEUTRAL,0,0,12,12,2,2,0,2,3,POC,RTH_MORNING,true
R03,C01_NEUTRAL,0,0,60,60,0.8,0,0,1,2,POC,RTH_OPEN,false
R04,C01_NEUTRAL,0,0,61,61,0.6,0,0,0,2,POC,ALL_SESSIONS,false
R04,C01_NEUTRAL,0,0,1,1,0,0,0,0,0,POC,RTH_AFTERNOON,true
R04,C01_NEUTRAL,0,0,1,1,0,0,0,0,0,POC,RTH_MIDDAY,true
R04,C01_NEUTRAL,0,0,8,8,1.2,1,0,2,3,POC,RTH_MORNING,true
R04,C01_NEUTRAL,0,0,51,51,0.5,0,0,0,1,POC,RTH_OPEN,false
R05,C01_NEUTRAL,1,0.76,131,129,12.2,6,2,14,29,POC,ALL_SESSIONS,false
R05,C01_NEUTRAL,1,12.5,8,6,11.7,6,3,6,15,POC,RTH_AFTERNOON,true
R05,C01_NEUTRAL,0,0,12,12,16.5,8,4,22,34,POC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,111,111,11.7,6,2,13,25,POC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,371,371,29.8,4,1,17,75,POC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,59,59,132.2,75,25,168,363,POC,ETH_EVENING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,29,29,54.5,39,18,65,102,POC,ETH_OVERNIGHT,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,13,13,12.3,8,3,17,29,POC,RTH_AFTERNOON,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,28,28,10.9,6,1,17,22,POC,RTH_MIDDAY,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,112,112,8.7,4,2,9,22,POC,RTH_MORNING,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,130,130,1.8,0,0,2,5,POC,RTH_OPEN,false
R01,C02_ACTIVITY_MATCHED,0,0,88,88,106.6,63,18,123,293,POC,ALL_SESSIONS,false
R01,C02_ACTIVITY_MATCHED,0,0,59,59,132.2,75,25,168,363,POC,ETH_EVENING,false
R01,C02_ACTIVITY_MATCHED,0,0,29,29,54.5,39,18,65,102,POC,ETH_OVERNIGHT,true
R02,C02_ACTIVITY_MATCHED,0,0,70,70,7.3,3,1,8,17,POC,ALL_SESSIONS,false
R02,C02_ACTIVITY_MATCHED,0,0,2,2,23,45,1,1,1,POC,RTH_AFTERNOON,true
R02,C02_ACTIVITY_MATCHED,0,0,9,9,12.9,6,2,17,19,POC,RTH_MIDDAY,true
R02,C02_ACTIVITY_MATCHED,0,0,9,9,18.7,17,5,29,32,POC,RTH_MORNING,true
R02,C02_ACTIVITY_MATCHED,0,0,50,50,3.6,2,1,4,9,POC,RTH_OPEN,false
R03,C02_ACTIVITY_MATCHED,0,0,55,55,2.1,0,0,2,7,POC,ALL_SESSIONS,false
R03,C02_ACTIVITY_MATCHED,0,0,4,4,4.5,7,0,7,7,POC,RTH_AFTERNOON,true
R03,C02_ACTIVITY_MATCHED,0,0,3,3,7.3,7,2,7,7,POC,RTH_MIDDAY,true
R03,C02_ACTIVITY_MATCHED,0,0,5,5,6.2,0,0,8,8,POC,RTH_MORNING,true
R03,C02_ACTIVITY_MATCHED,0,0,43,43,1.1,0,0,1,3,POC,RTH_OPEN,false
R04,C02_ACTIVITY_MATCHED,0,0,45,45,0.4,0,0,0,1,POC,ALL_SESSIONS,false
R04,C02_ACTIVITY_MATCHED,0,0,1,1,0,0,0,0,0,POC,RTH_AFTERNOON,true
R04,C02_ACTIVITY_MATCHED,0,0,2,2,1.5,3,0,0,0,POC,RTH_MIDDAY,true
R04,C02_ACTIVITY_MATCHED,0,0,5,5,2.2,2,1,3,3,POC,RTH_MORNING,true
R04,C02_ACTIVITY_MATCHED,0,0,37,37,0.1,0,0,0,0,POC,RTH_OPEN,false
R05,C02_ACTIVITY_MATCHED,0,0,113,113,9.1,4,2,10,22,POC,ALL_SESSIONS,false
R05,C02_ACTIVITY_MATCHED,0,0,6,6,16,17,8,17,29,POC,RTH_AFTERNOON,true
R05,C02_ACTIVITY_MATCHED,0,0,14,14,11.6,12,1,18,22,POC,RTH_MIDDAY,true
R05,C02_ACTIVITY_MATCHED,0,0,93,93,8.3,4,2,9,16,POC,RTH_MORNING,false
ALL_ANCHORS,TREATED,1,0.21,482,480,34.2,4,1,21,77,POC,ALL_SESSIONS,false
ALL_ANCHORS,TREATED,0,0,73,73,161.1,100,31,239,440,POC,ETH_EVENING,false
ALL_ANCHORS,TREATED,1,2.38,42,41,57.2,46,24,70,139,POC,ETH_OVERNIGHT,false
ALL_ANCHORS,TREATED,0,0,17,16,7.6,3,0,6,12,POC,RTH_AFTERNOON,true
ALL_ANCHORS,TREATED,0,0,35,35,15.9,8,3,22,36,POC,RTH_MIDDAY,false
ALL_ANCHORS,TREATED,0,0,154,154,8.9,5,2,11,21,POC,RTH_MORNING,false
ALL_ANCHORS,TREATED,0,0,161,161,1.6,0,0,2,4,POC,RTH_OPEN,false
R01,TREATED,1,0.87,115,114,123.7,63,25,165,378,POC,ALL_SESSIONS,false
R01,TREATED,0,0,73,73,161.1,100,31,239,440,POC,ETH_EVENING,false
R01,TREATED,1,2.38,42,41,57.2,46,24,70,139,POC,ETH_OVERNIGHT,false
R02,TREATED,0,0,89,89,6.3,2,1,7,19,POC,ALL_SESSIONS,false
R02,TREATED,0,0,6,6,3.2,1,0,1,5,POC,RTH_AFTERNOON,true
R02,TREATED,0,0,11,11,13.1,8,5,11,23,POC,RTH_MIDDAY,true
R02,TREATED,0,0,17,17,14.1,4,1,22,27,POC,RTH_MORNING,true
R02,TREATED,0,0,55,55,2.9,1,1,3,7,POC,RTH_OPEN,false
R03,TREATED,0,0,81,81,3,1,0,3,7,POC,ALL_SESSIONS,false
R03,TREATED,0,0,3,3,21.3,8,3,8,8,POC,RTH_AFTERNOON,true
R03,TREATED,0,0,5,5,7.8,4,3,6,6,POC,RTH_MIDDAY,true
R03,TREATED,0,0,13,13,4,2,1,8,8,POC,RTH_MORNING,true
R03,TREATED,0,0,60,60,1.4,0,0,2,4,POC,RTH_OPEN,false
R04,TREATED,0,0,59,59,0.7,0,0,0,2,POC,ALL_SESSIONS,false
R04,TREATED,0,0,4,4,0.8,0,0,0,0,POC,RTH_AFTERNOON,true
R04,TREATED,0,0,2,2,1.5,3,0,0,0,POC,RTH_MIDDAY,true
R04,TREATED,0,0,7,7,2.7,2,1,2,5,POC,RTH_MORNING,true
R04,TREATED,0,0,46,46,0.4,0,0,0,1,POC,RTH_OPEN,false
R05,TREATED,0,0,138,137,10.7,6,2,14,27,POC,ALL_SESSIONS,false
R05,TREATED,0,0,4,3,11.7,6,3,6,6,POC,RTH_AFTERNOON,true
R05,TREATED,0,0,17,17,21.7,19,3,30,49,POC,RTH_MIDDAY,true
R05,TREATED,0,0,117,117,9.1,5,2,12,21,POC,RTH_MORNING,false
