anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
ALL_ANCHORS,TREATED,5.56,51.85,3.7,11.11,1.85,3.7,0,0,7.41,14.81,0,0,54,122,0,0,362,NONPOC,54,100,ETH_EVENING,3atr,false
ALL_ANCHORS,TREATED,3.7,11.11,22.22,33.33,0,0,3.7,0,3.7,14.81,2,7.41,27,44,0,0,82,NONPOC,25,92.59,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,TREATED,10.53,0,21.05,5.26,15.79,15.79,0,0,31.58,0,0,0,19,3,0,0,13,NONPOC,19,100,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,TREATED,21.43,0,7.14,25,10.71,0,3.57,14.29,14.29,3.57,0,0,28,13,0,0,47,NONPOC,28,100,RTH_MIDDAY,3atr,true
ALL_ANCHORS,TREATED,16.67,0,16.67,12.22,11.11,10,7.78,7.78,17.78,0,0,0,90,5,0,0,24,NONPOC,90,100,RTH_MORNING,3atr,false
ALL_ANCHORS,TREATED,5.88,0,44.12,2.21,19.12,8.09,6.62,4.41,9.56,0,0,0,136,2,0,0,9,NONPOC,136,100,RTH_OPEN,3atr,false
R01,TREATED,4.94,38.27,9.88,18.52,1.23,2.47,1.23,0,6.17,14.81,2,2.47,81,69,0,0,354,NONPOC,79,97.53,ALL_SESSIONS,3atr,false
R01,TREATED,5.56,51.85,3.7,11.11,1.85,3.7,0,0,7.41,14.81,0,0,54,122,0,0,362,NONPOC,54,100,ETH_EVENING,3atr,false
R01,TREATED,3.7,11.11,22.22,33.33,0,0,3.7,0,3.7,14.81,2,7.41,27,44,0,0,82,NONPOC,25,92.59,ETH_OVERNIGHT,3atr,true
R02,TREATED,12.5,0,21.88,7.29,18.75,8.33,8.33,3.12,18.75,1.04,0,0,96,4,0,0,18,NONPOC,96,100,ALL_SESSIONS,3atr,false
R02,TREATED,0,0,14.29,0,42.86,14.29,0,0,28.57,0,0,0,7,2,0,0,6,NONPOC,7,100,RTH_AFTERNOON,3atr,true
R02,TREATED,37.5,0,25,0,0,0,0,0,25,12.5,0,0,8,14,0,0,19,NONPOC,8,100,RTH_MIDDAY,3atr,true
R02,TREATED,28.57,0,14.29,28.57,0,0,7.14,0,21.43,0,0,0,14,14,0,0,26,NONPOC,14,100,RTH_MORNING,3atr,true
R02,TREATED,7.46,0,23.88,4.48,22.39,10.45,10.45,4.48,16.42,0,0,0,67,3,0,0,11,NONPOC,67,100,RTH_OPEN,3atr,false
R03,TREATED,4.94,0,51.85,2.47,16.05,7.41,3.7,7.41,6.17,0,0,0,81,1,0,0,7,NONPOC,81,100,ALL_SESSIONS,3atr,false
R03,TREATED,11.11,0,33.33,11.11,0,22.22,0,0,22.22,0,0,0,9,3,0,0,14,NONPOC,9,100,RTH_AFTERNOON,3atr,true
R03,TREATED,14.29,0,0,14.29,28.57,0,14.29,28.57,0,0,0,0,7,5,0,0,15,NONPOC,7,100,RTH_MIDDAY,3atr,true
R03,TREATED,0,0,55.56,0,22.22,0,0,11.11,11.11,0,0,0,9,1,0,0,5,NONPOC,9,100,RTH_MORNING,3atr,true
R03,TREATED,3.57,0,60.71,0,16.07,7.14,3.57,5.36,3.57,0,0,0,56,1,0,0,5,NONPOC,56,100,RTH_OPEN,3atr,false
R04,TREATED,5.56,0,61.11,0,22.22,5.56,0,0,5.56,0,0,0,18,1,0,0,3,NONPOC,18,100,ALL_SESSIONS,3atr,true
R04,TREATED,0,0,0,0,0,0,0,0,100,0,0,0,1,7,0,0,7,NONPOC,1,100,RTH_AFTERNOON,3atr,true
R04,TREATED,0,0,0,0,100,0,0,0,0,0,0,0,1,2,0,0,2,NONPOC,1,100,RTH_MIDDAY,3atr,true
R04,TREATED,0,0,33.33,0,33.33,33.33,0,0,0,0,0,0,3,2,0,0,2,NONPOC,3,100,RTH_MORNING,3atr,true
