anchor,approach_side,arm,continued,continued_pct,evaluated_events,horizon_minutes,population,returned_inside,returned_inside_pct,session,threshold,underpowered
R03,APPROACH_FROM_BELOW,TREATED,15,44.12,34,15,POC,25,73.53,ALL_SESSIONS,5atr,false
R03,APPROACH_FROM_BELOW,TREATED,1,25,4,15,POC,4,100,RTH_MIDDAY,5atr,true
R03,APPROACH_FROM_BELOW,TREATED,2,40,5,15,POC,4,80,RTH_MORNING,5atr,true
R03,APPROACH_FROM_BELOW,TREATED,12,48,25,15,POC,17,68,RTH_OPEN,5atr,true
R04,APPROACH_FROM_BELOW,TREATED,16,39.02,41,15,POC,36,87.8,ALL_SESSIONS,5atr,false
R04,APPROACH_FROM_BELOW,TREATED,1,25,4,15,POC,3,75,RTH_MIDDAY,5atr,true
R04,APPROACH_FROM_BELOW,TREATED,2,50,4,15,POC,3,75,RTH_MORNING,5atr,true
R04,APPROACH_FROM_BELOW,TREATED,13,39.39,33,15,POC,30,90.91,RTH_OPEN,5atr,false
R05,APPROACH_FROM_BELOW,TREATED,21,42.86,49,15,POC,34,69.39,ALL_SESSIONS,5atr,false
R05,APPROACH_FROM_BELOW,TREATED,0,0,2,15,POC,2,100,RTH_AFTERNOON,5atr,true
R05,APPROACH_FROM_BELOW,TREATED,0,0,3,15,POC,3,100,RTH_MIDDAY,5atr,true
R05,APPROACH_FROM_BELOW,TREATED,21,47.73,44,15,POC,29,65.91,RTH_MORNING,5atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,32,46.38,69,30,NONPOC,50,72.46,ALL_SESSIONS,5atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,8,66.67,12,30,NONPOC,8,66.67,ETH_EVENING,5atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,66.67,6,30,NONPOC,4,66.67,ETH_OVERNIGHT,5atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,100,1,30,NONPOC,1,100,RTH_AFTERNOON,5atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,37.5,8,30,NONPOC,6,75,RTH_MIDDAY,5atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,46.15,13,30,NONPOC,9,69.23,RTH_MORNING,5atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,34.48,29,30,NONPOC,22,75.86,RTH_OPEN,5atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,12,66.67,18,30,NONPOC,12,66.67,ALL_SESSIONS,5atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,8,66.67,12,30,NONPOC,8,66.67,ETH_EVENING,5atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,66.67,6,30,NONPOC,4,66.67,ETH_OVERNIGHT,5atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,8,57.14,14,30,NONPOC,7,50,ALL_SESSIONS,5atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,2,66.67,3,30,NONPOC,1,33.33,RTH_MIDDAY,5atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,25,4,30,NONPOC,3,75,RTH_MORNING,5atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,5,71.43,7,30,NONPOC,3,42.86,RTH_OPEN,5atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,8,28.57,28,30,NONPOC,23,82.14,ALL_SESSIONS,5atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,100,1,30,NONPOC,1,100,RTH_AFTERNOON,5atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,0,0,1,30,NONPOC,1,100,RTH_MIDDAY,5atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,2,33.33,6,30,NONPOC,4,66.67,RTH_MORNING,5atr,true
R03,APPROACH_FROM_ABOVE,C01_NEUTRAL,5,25,20,30,NONPOC,17,85,RTH_OPEN,5atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,0,0,2,30,NONPOC,2,100,ALL_SESSIONS,5atr,true
R04,APPROACH_FROM_ABOVE,C01_NEUTRAL,0,0,2,30,NONPOC,2,100,RTH_OPEN,5atr,true
