profile_id,source_session_date,profile_family,allocation_method,bin_ratio,prominence_threshold,bin_index,production_weight,independent_weight,exact_difference,result
b53cd090587d79f71912,2025-01-07,midnight,uniform_bar_volume,0.10,2.0,87019,339.22266282729714505233100398967472116558373857606520,339.22266282729714505233100398967472116558373857606520,0.00000000000000000000000000000000000000000000000000,PASS
b53cd090587d79f71912,2025-01-07,midnight,uniform_bar_volume,0.10,2.0,87188,10.92857142857142857142857142857142857142857142857137,10.92857142857142857142857142857142857142857142857137,0.00000000000000000000000000000000000000000000000000,PASS
69958e3bd4e7dd44b0e1,2025-01-07,midnight,tpo_range_occupancy,0.10,2.0,86644,1,1,0,PASS
69958e3bd4e7dd44b0e1,2025-01-07,midnight,tpo_range_occupancy,0.10,2.0,86916,38,38,0,PASS
69958e3bd4e7dd44b0e1,2025-01-07,midnight,tpo_range_occupancy,0.10,2.0,87018,65,65,0,PASS
69958e3bd4e7dd44b0e1,2025-01-07,midnight,tpo_range_occupancy,0.10,2.0,87188,1,1,0,PASS
bc9147a2ed690a64e882,2025-01-06,opening_hour_rth,uniform_bar_volume,0.10,2.0,14482,168.77419354838709677419354838709677419354838709677419,168.77419354838709677419354838709677419354838709677419,0.00000000000000000000000000000000000000000000000000,PASS
bc9147a2ed690a64e882,2025-01-06,opening_hour_rth,uniform_bar_volume,0.10,2.0,14537,1694.04202541161831041509199034850470592701344897403063,1694.04202541161831041509199034850470592701344897403063,0.00000000000000000000000000000000000000000000000000,PASS
bc9147a2ed690a64e882,2025-01-06,opening_hour_rth,uniform_bar_volume,0.10,2.0,14544,3045.28408172132167894198992901114925092449962293079288,3045.28408172132167894198992901114925092449962293079288,0.00000000000000000000000000000000000000000000000000,PASS
bc9147a2ed690a64e882,2025-01-06,opening_hour_rth,uniform_bar_volume,0.10,2.0,14591,144.54545454545454545454545454545454545454545454545450,144.54545454545454545454545454545454545454545454545450,0.00000000000000000000000000000000000000000000000000,PASS
5b337f86a3621c8b4d1c,2025-01-06,opening_hour_rth,tpo_range_occupancy,0.10,2.0,14482,1,1,0,PASS
5b337f86a3621c8b4d1c,2025-01-06,opening_hour_rth,tpo_range_occupancy,0.10,2.0,14537,16,16,0,PASS
5b337f86a3621c8b4d1c,2025-01-06,opening_hour_rth,tpo_range_occupancy,0.10,2.0,14544,28,28,0,PASS
5b337f86a3621c8b4d1c,2025-01-06,opening_hour_rth,tpo_range_occupancy,0.10,2.0,14591,1,1,0,PASS
657101996bdbd89b277d,2025-01-07,opening_hour_rth,uniform_bar_volume,0.10,2.0,28700,71.46153846153846153846153846153846153846153846153846,71.46153846153846153846153846153846153846153846153846,0.00000000000000000000000000000000000000000000000000,PASS
657101996bdbd89b277d,2025-01-07,opening_hour_rth,uniform_bar_volume,0.10,2.0,28808,848.67587337793536261299501521411672827809978294537742,848.67587337793536261299501521411672827809978294537742,0.00000000000000000000000000000000000000000000000000,PASS
657101996bdbd89b277d,2025-01-07,opening_hour_rth,uniform_bar_volume,0.10,2.0,28887,59.25000000000000000000000000000000000000000000000000,59.25000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,PASS
657101996bdbd89b277d,2025-01-07,opening_hour_rth,uniform_bar_volume,0.10,2.0,29074,131.18750000000000000000000000000000000000000000000000,131.18750000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,PASS
571cfcaa80c16f4fd4c8,2025-01-07,opening_hour_rth,tpo_range_occupancy,0.10,2.0,28700,1,1,0,PASS
571cfcaa80c16f4fd4c8,2025-01-07,opening_hour_rth,tpo_range_occupancy,0.10,2.0,28809,13,13,0,PASS
571cfcaa80c16f4fd4c8,2025-01-07,opening_hour_rth,tpo_range_occupancy,0.10,2.0,28887,1,1,0,PASS
571cfcaa80c16f4fd4c8,2025-01-07,opening_hour_rth,tpo_range_occupancy,0.10,2.0,29074,1,1,0,PASS
