anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
R05,C02_ACTIVITY_MATCHED,0,0,20,20,6.2,5,1,6,15,POC,RTH_MORNING,true
ALL_ANCHORS,TREATED,0,0,148,148,23,3,0,13,70,POC,ALL_SESSIONS,false
ALL_ANCHORS,TREATED,0,0,30,30,72.9,49,16,113,177,POC,ETH_EVENING,false
ALL_ANCHORS,TREATED,0,0,8,8,93.5,49,10,113,180,POC,ETH_OVERNIGHT,true
ALL_ANCHORS,TREATED,0,0,4,4,15.8,11,0,11,11,POC,RTH_AFTERNOON,true
ALL_ANCHORS,TREATED,0,0,10,10,9.4,7,5,13,14,POC,RTH_MIDDAY,true
ALL_ANCHORS,TREATED,0,0,34,34,6.4,4,1,9,11,POC,RTH_MORNING,false
ALL_ANCHORS,TREATED,0,0,62,62,1.6,0,0,1,2,POC,RTH_OPEN,false
R01,TREATED,0,0,38,38,77.3,49,16,113,180,POC,ALL_SESSIONS,false
R01,TREATED,0,0,30,30,72.9,49,16,113,177,POC,ETH_EVENING,false
R01,TREATED,0,0,8,8,93.5,49,10,113,180,POC,ETH_OVERNIGHT,true
R02,TREATED,0,0,19,19,3.8,2,1,4,9,POC,ALL_SESSIONS,true
R02,TREATED,0,0,1,1,1,1,1,1,1,POC,RTH_MIDDAY,true
R02,TREATED,0,0,4,4,7,9,0,9,9,POC,RTH_MORNING,true
R02,TREATED,0,0,14,14,3.1,2,1,2,4,POC,RTH_OPEN,true
R03,TREATED,0,0,32,32,3.2,1,0,2,7,POC,ALL_SESSIONS,false
R03,TREATED,0,0,1,1,0,0,0,0,0,POC,RTH_AFTERNOON,true
R03,TREATED,0,0,3,3,15.7,13,5,13,13,POC,RTH_MIDDAY,true
R03,TREATED,0,0,3,3,8.3,7,1,7,7,POC,RTH_MORNING,true
R03,TREATED,0,0,25,25,1.2,0,0,1,2,POC,RTH_OPEN,true
R04,TREATED,0,0,31,31,1.9,0,0,1,5,POC,ALL_SESSIONS,false
R04,TREATED,0,0,1,1,1,1,1,1,1,POC,RTH_AFTERNOON,true
R04,TREATED,0,0,2,2,9,13,5,5,5,POC,RTH_MIDDAY,true
R04,TREATED,0,0,5,5,3,1,1,4,4,POC,RTH_MORNING,true
R04,TREATED,0,0,23,23,1.1,0,0,1,1,POC,RTH_OPEN,true
R05,TREATED,0,0,28,28,8.6,5,2,10,14,POC,ALL_SESSIONS,true
R05,TREATED,0,0,2,2,31,51,11,11,11,POC,RTH_AFTERNOON,true
R05,TREATED,0,0,4,4,7,7,2,7,7,POC,RTH_MIDDAY,true
R05,TREATED,0,0,22,22,6.9,4,1,8,11,POC,RTH_MORNING,true
